iter	Passed	Remaining
0	93	93374
1	94	46970
2	94	31452
3	95	23688
4	95	19042
5	96	15931
6	96	13720
7	97	12059
8	97	10764
9	98	9730
10	98	8884
11	99	8177
12	99	7588
13	100	7077
14	101	6635
15	101	6240
16	101	5890
17	102	5582
18	102	5305
19	103	5056
20	103	4831
21	104	4625
22	104	4438
23	104	4265
24	105	4106
25	105	3962
26	106	3830
27	106	3704
28	107	3586
29	107	3476
30	107	3373
31	108	3278
32	108	3187
33	109	3101
34	109	3021
35	110	2947
36	110	2878
37	111	2813
38	111	2750
39	112	2691
40	112	2635
41	113	2581
42	113	2529
43	114	2481
44	114	2433
45	115	2387
46	115	2343
47	116	2302
48	116	2262
49	117	2224
50	117	2188
51	118	2155
52	118	2121
53	119	2089
54	119	2057
55	120	2027
56	120	1997
57	121	1969
58	121	1941
59	122	1915
60	122	1889
61	123	1864
62	123	1840
63	124	1815
64	124	1794
65	125	1772
66	125	1751
67	126	1727
68	126	1706
69	126	1686
70	127	1667
71	127	1648
72	128	1631
73	128	1613
74	129	1596
75	129	1579
76	130	1563
77	131	1548
78	131	1533
79	132	1518
80	132	1503
81	133	1489
82	133	1475
83	134	1461
84	134	1447
85	134	1434
86	135	1419
87	135	1406
88	136	1394
89	136	1382
90	137	1371
91	137	1359
92	138	1348
93	138	1336
94	139	1325
95	139	1314
96	140	1304
97	140	1293
98	141	1284
99	141	1274
100	142	1264
101	142	1252
102	142	1242
103	143	1233
104	143	1224
105	144	1215
106	144	1205
107	144	1196
108	145	1187
109	145	1178
110	146	1170
111	146	1162
112	147	1154
113	147	1146
114	147	1138
115	148	1129
116	148	1122
117	149	1115
118	149	1108
119	150	1101
120	150	1093
121	151	1086
122	151	1078
123	151	1070
124	152	1064
125	152	1057
126	152	1050
127	153	1043
128	153	1036
129	153	1030
130	154	1024
131	154	1018
132	155	1011
133	155	1007
134	156	1002
135	156	997
136	157	992
137	157	986
138	158	981
139	158	976
140	159	971
141	159	966
142	160	960
143	160	956
144	161	951
145	161	946
146	162	942
147	162	938
148	163	933
149	163	928
150	164	924
151	164	920
152	165	915
153	165	911
154	166	907
155	166	902
156	167	898
157	167	895
158	168	891
159	169	887
160	169	883
161	170	879
162	170	875
163	171	871
164	171	867
165	171	864
166	172	860
167	172	856
168	173	853
169	174	849
170	174	846
171	175	842
172	175	839
173	176	836
174	176	832
175	177	829
176	177	826
177	178	822
178	178	819
179	179	815
180	179	811
181	179	808
